index,fieldID,descDitheredRA,descDitheredDec,expMJD,filter,fiveSigmaDepth,fiveSigmaDepth.1,rotSkyPos,rotTelPos,FWHMeff,obsHistID,mag,snid_in,chip,xpixel,ypixel
141,1297,56.259116576485944,-29.515519745707767,60193.33959600001,lssti,23.403599092100002,23.403599092100002,0.253338,-1.374963,1.026679,428527,24.90797519506917,MS_9172_1501,"R:3,1 S:1,0",1406.3997576849022,2919.2425266556097
141,1297,56.259116576485944,-29.515519745707767,60193.33959600001,lssti,23.403599092100002,23.403599092100002,0.253338,-1.374963,1.026679,428527,23.818886654767,MS_9172_2483,"R:3,1 S:0,2",3669.737059409188,51.70249919954926
141,1297,56.259116576485944,-29.515519745707767,60193.33959600001,lssti,23.403599092100002,23.403599092100002,0.253338,-1.374963,1.026679,428527,26.06146415618842,MS_9172_2529,"R:3,1 S:0,0",3329.472908172182,107.49189001443732
143,1297,59.008277268210605,-30.590445865152706,60198.248335,lsstu,23.007657241,23.007657241,2.113853,0.331323,1.357366,431194,28.443225065479577,MS_9172_355,"R:0,3 S:0,0",2368.197709290312,261.767770143341
143,1297,59.008277268210605,-30.590445865152706,60198.248335,lsstu,23.007657241,23.007657241,2.113853,0.331323,1.357366,431194,28.17476936199236,MS_9172_684,"R:0,3 S:0,0",1545.8515949851587,3607.109948564303
143,1297,59.008277268210605,-30.590445865152706,60198.248335,lsstu,23.007657241,23.007657241,2.113853,0.331323,1.357366,431194,33.166072141550366,MS_9172_1425,"R:0,3 S:0,1",681.4053703096263,190.5352410123449
143,1297,59.008277268210605,-30.590445865152706,60198.248335,lsstu,23.007657241,23.007657241,2.113853,0.331323,1.357366,431194,28.378915368019587,MS_9172_1469,"R:0,2 S:0,0",2850.668017612018,671.7701602227067
209,1401,58.18950725082441,-29.35532074618919,60512.422833,lsstz,22.804176981599998,22.804176981599998,0.704658,-1.0909209999999998,0.840419,628002,24.17694774981229,MS_9172_402,"R:0,1 S:1,2",2062.9138147979575,496.08780396945053
209,1401,58.18950725082441,-29.35532074618919,60512.422833,lsstz,22.804176981599998,22.804176981599998,0.704658,-1.0909209999999998,0.840419,628002,23.803710374819058,MS_9172_704,"R:0,1 S:2,1",2114.394399639811,3829.8565530524343
209,1401,58.18950725082441,-29.35532074618919,60512.422833,lsstz,22.804176981599998,22.804176981599998,0.704658,-1.0909209999999998,0.840419,628002,25.314094290802316,MS_9172_745,"R:1,1 S:0,2",1308.547258989999,1529.6673535207785
209,1401,58.18950725082441,-29.35532074618919,60512.422833,lsstz,22.804176981599998,22.804176981599998,0.704658,-1.0909209999999998,0.840419,628002,24.98189566840485,MS_9172_954,"R:0,1 S:2,0",1511.4383371656438,2584.494686116127
209,1401,58.18950725082441,-29.35532074618919,60512.422833,lsstz,22.804176981599998,22.804176981599998,0.704658,-1.0909209999999998,0.840419,628002,23.53704220919052,MS_9172_966,"R:0,1 S:2,2",2183.183118870596,339.99119985368606
209,1401,58.18950725082441,-29.35532074618919,60512.422833,lsstz,22.804176981599998,22.804176981599998,0.704658,-1.0909209999999998,0.840419,628002,25.42324048991496,MS_9172_1284,"R:0,1 S:2,1",30.171012402332956,1458.3947439732515
209,1401,58.18950725082441,-29.35532074618919,60512.422833,lsstz,22.804176981599998,22.804176981599998,0.704658,-1.0909209999999998,0.840419,628002,24.272398648908787,MS_9172_1285,"R:1,1 S:0,2",3268.888403433814,3961.714730826411
209,1401,58.18950725082441,-29.35532074618919,60512.422833,lsstz,22.804176981599998,22.804176981599998,0.704658,-1.0909209999999998,0.840419,628002,26.664550519642404,MS_9172_1418,"R:1,0 S:0,1",1136.3664709243806,1025.1286171819804
209,1401,58.18950725082441,-29.35532074618919,60512.422833,lsstz,22.804176981599998,22.804176981599998,0.704658,-1.0909209999999998,0.840419,628002,23.453150355579247,MS_9172_1547,"R:1,0 S:0,2",1801.4633919717849,1904.0412292560438
209,1401,58.18950725082441,-29.35532074618919,60512.422833,lsstz,22.804176981599998,22.804176981599998,0.704658,-1.0909209999999998,0.840419,628002,24.06004707059675,MS_9172_1781,"R:0,1 S:1,2",3306.065525292296,2694.222337995512
209,1401,58.18950725082441,-29.35532074618919,60512.422833,lsstz,22.804176981599998,22.804176981599998,0.704658,-1.0909209999999998,0.840419,628002,26.465368087082897,MS_9172_1911,"R:0,1 S:2,0",3227.9386041213597,764.5263074001111
