,obsHistID,filter,FWHMeff,descDitheredRA,descDitheredDec,descDitheredRotTelPos,airmass,fiveSigmaDepth,expMJD,descDitheredRotSkyPos,fieldRA,fieldDec,rotSkyPos,rotTelPos,d1,d2,d3,d4
1263,707675,z,0.984796,59.06107827575384,-30.611645303572548,5.844570580790989,1.43971509423,22.7315346585,60625.074628,109.54774711778646,60.47300237442128,-31.197781127991377,126.66223278352423,23.26667014467247,2.6576197626864055,2.960864737727527,0.9906558714352522,1.6581152100076555
1265,707710,z,0.920204,58.88301220676149,-33.17207909845317,4.1939364687986,1.28390725052,22.8601926145,60625.091294,102.98901315185934,58.43974704684052,-33.82473532288669,119.19074854345929,21.616036032680082,3.268407235820866,2.6970095505724703,2.297277048455089,1.388263879075303
1266,707711,z,0.936172,59.54020409172494,-32.21541146792323,4.26160278440355,1.32196570992,22.8295138775,60625.09174,104.38116749040572,60.47300237442128,-31.197781127991377,123.09047118445821,21.68370234828503,3.2505621590745197,3.0063201609038077,1.7882059677230986,1.3222819951822264
1267,707712,z,0.914176,58.118322683294814,-32.11651895248365,4.313168985965324,1.27010826013,22.8692929799,60625.092188,103.99761479108568,57.23951505760047,-30.8641478038867,122.48158893557266,21.735268549846808,2.1223724417180674,1.7990449500286576,1.1210616907301953,0.15372911089870106
1284,711818,z,1.125078,59.23868646094056,-32.599866148456016,-24.368754463606606,1.00390876689,22.4442337832,60630.217002,282.0757016799311,58.43974704684052,-33.82473532288669,283.88414359860263,-26.905926172004918,3.1834598277255273,2.8023641212412405,1.9151214093529336,1.206667283959641
1285,711820,z,1.128385,54.765722291068634,-32.24085079402704,-22.992968205938478,1.0085168172,22.4292970932,60630.217988,259.8689468689388,55.12719155429167,-33.448015572588176,266.5261580119963,-25.530139914336786,1.626125864012984,1.0727301096824986,3.0205437142285625,2.7496760998960337
1286,711856,z,1.138841,56.197797041173224,-32.3904500743357,-21.402150887757745,1.02363013349,22.4108779124,60630.234862,255.71989289385786,55.12719155429167,-33.448015572588176,256.801918313036,-23.939322596156057,1.4005970728619828,0.42481546625493266,2.069880809206158,1.5742561050510353
1287,711857,z,1.132951,59.34814060879358,-32.59413657050471,-21.190213799338853,1.01508320889,22.4245753364,60630.235319,261.0889875471746,58.43974704684052,-33.82473532288669,263.7071483641732,-23.727385507737164,3.2614772006857513,2.8916987571806865,1.9631493931861195,1.2851351323107598
1288,712518,z,1.00249,57.54468811442708,-31.832389181878273,14.287447466720748,1.00199088085,22.6300681423,60631.21054,307.9260600759243,57.23951505760047,-30.8641478038867,289.64024949582546,11.750275758322436,1.5590192399256582,1.3218234120714913,0.9186122559911125,0.4212586607341457
1290,712572,z,1.014289,58.44352021857444,-30.668482716849525,7.292835999543171,1.02215540405,22.6071446318,60631.237475,275.8998654688327,57.23951505760047,-30.8641478038867,274.1801293098104,4.75566429114486,2.1241198292441963,2.475570755898601,0.5049102819601832,1.384354767147674
1297,712680,z,1.067981,59.36892984151775,-32.348566859511635,1.8157605485490917,1.11080197306,22.5108855275,60631.291363,267.82142626613864,60.47300237442128,-31.197781127991377,263.3907610697019,-0.7214111598492196,3.168205737666372,2.872670549857684,1.7820662784770263,1.2099884917484944
1299,713283,i,1.066412,57.551285588792936,-32.79123405202971,151.61557608550282,1.01074108543,23.0375606409,60632.224436,75.4005278654226,58.43974704684052,-33.82473532288669,357.31745129888316,65.51170781636075,2.2232480934569634,1.5302572498231175,1.8312911321362235,0.8772664991109983
1305,715237,r,0.911759,57.64848166271775,-29.579576427203392,-50.95095948136261,1.12235198872,24.293388071,60635.101011,48.63507187952817,57.23951505760047,-30.8641478038867,103.18385473355093,6.436034912704537,2.0108552508698714,2.80414378651073,1.4524890895430695,2.4391821202225303
1308,715267,r,0.893647,56.25297573630478,-30.251598625112333,-51.63885261019668,1.08486240598,24.3254346305,60635.114606,45.052819432848686,57.23951505760047,-30.8641478038867,100.93625589481174,5.748141783870471,0.7794175050191493,1.7617594047495118,1.6792897983636346,2.300664345234785
1314,721758,r,0.914913,58.86858265945904,-29.545886508849705,36.00489702913898,1.07358427345,24.3041656041,60647.093333,134.14009254012225,59.22464193039024,-28.25415315972726,99.58562248434984,-1.6941216086428181,2.872453287326926,3.4778045786981755,1.6361809618318466,2.5650418499460943
1316,721760,r,0.906868,58.026076584275934,-30.743540188011664,36.05760914629102,1.05751129534,24.3225696719,60647.094238,130.68780129126586,57.23951505760047,-30.8641478038867,92.03816404065053,-1.6414094914907824,1.757799925111916,2.137951126997494,0.2574346270896006,1.256657041423531
1318,721789,r,0.895007,57.89184582825538,-30.195219578071463,37.25297099427245,1.03397095137,24.3561042109,60647.107984,132.2028146066567,57.23951505760047,-30.8641478038867,91.38590888667362,-0.4460476435093459,1.8163998856898265,2.4250783480588995,0.8101468629440991,1.8071545920339585
1319,721790,r,0.888787,54.328763504966496,-31.518580197485125,37.328773310568266,1.02182249198,24.3669641031,60647.108433,125.31568919628121,54.04475968773052,-30.452706811203253,91.98447789524678,-0.370245327213538,1.5198060035746717,1.500310790824214,3.180667393607294,3.1582705325209957
1321,721871,r,0.88002,58.288428583749265,-32.8853710177697,48.79491929828532,1.00407857938,24.3872479062,60647.146263,105.12559378751942,58.43974704684052,-33.82473532288669,56.62862745643199,11.095900660503522,2.7064292574351345,2.1244714959748747,1.9011882312168882,0.9182206341402264
1323,722435,r,0.707258,58.95214197976113,-31.07356387800702,-38.69751218735629,1.0884292842,24.577065955,60648.077677,57.03047680858246,57.23951505760047,-30.8641478038867,79.2381150100894,-16.14744035705394,2.530497717330373,2.6811354388188318,0.8191373223819387,1.2315866602734904
1325,722452,r,0.695301,55.56440181248682,-32.30593879955391,-36.34683824127306,1.05760479205,24.6086030551,60648.08555,53.75578150368809,55.12719155429167,-33.448015572588176,72.29340816686772,-13.796766410970712,1.357554979936564,0.4791703011364279,2.4501847793661993,2.084574350237247
1326,722477,r,0.693337,59.43821440651419,-33.04768996113027,-31.71923001733994,1.05281340357,24.6156083009,60648.097389,55.99169789803006,58.43974704684052,-33.82473532288669,75.0042433829702,-9.16915818703759,3.561972738690055,3.0822973960708566,2.3831704559668347,1.6025216402456095
1327,722481,r,0.689643,57.53601083993421,-29.869435775760078,-30.384352946244146,1.04301552096,24.6326167972,60648.099491,66.03909425439488,57.23951505760047,-30.8641478038867,84.83969418996541,-7.834281115941798,1.7412523503857873,2.5049384434764757,1.1992532642434233,2.167408705844291
1328,724460,z,0.843793,55.09910627150392,-32.2905835306444,-47.699710472892754,1.18829776109,22.8915164359,60651.031854,49.27204706861771,55.12719155429167,-33.448015572588176,96.82694529235395,1.922960952018069,1.5012492881289703,0.816258805189806,2.7862979981457894,2.4732410968503364
1331,724473,z,0.845594,56.10058945280206,-30.64722598265017,-47.50261299136775,1.19281290703,23.0349729722,60651.037675,51.66064461468185,57.23951505760047,-30.8641478038867,101.04964424246813,2.1200584335430723,0.3631957428445971,1.355500069682992,1.6688047421288608,2.1124344602320493
1337,725880,z,0.731335,59.912291874163664,-30.417068836346115,2.3808688218866227,1.15740583618,23.212691693,60653.050153,101.1554759037596,60.47300237442128,-31.197781127991377,94.35423133590787,-3.0084294948934134,3.413635664863225,3.7012984834605684,1.7443915074357836,2.2760269434626603
1340,729384,z,0.866874,58.12659946773734,-31.389951172478252,-34.447712333532436,1.11747675377,22.6677911175,60658.039818,61.63919744459928,57.23951505760047,-30.8641478038867,98.60540628844004,2.0405891873584268,1.8604053610527782,1.9094594123114934,0.4047091547794089,0.6194856879552506
1341,729386,z,0.857521,55.593517117832185,-32.59763161305501,-34.358731987948616,1.09688869026,22.7133955156,60658.040767,58.117097642365835,55.12719155429167,-33.448015572588176,92.12937892163536,2.1295695329422437,1.6345520398511768,0.6893579768612847,2.59515629676504,2.1200498535309507
