obsHistID,filter,FWHMeff,descDitheredRA,descDitheredDec,airmass,fiveSigmaDepth,expMJD,d1,d2,d3,d4
200737,u,1.147667,56.85577547589422,-33.382068130368616,1.2369799512,23.2420007975,59851.210381,2.4896945524268834,1.5584496351081571,2.5713046860691344,1.684435132585173
200739,u,1.141379,55.081543105662874,-30.33169812487162,1.22586590787,23.2478427779,59851.211277,1.0347635515572469,1.8441184258617298,2.597668194251481,3.003027706072576
200747,u,1.337951,55.573448617255586,-30.16892081527496,1.2095247781,23.0801948987,59851.214891,0.9085870803483719,1.8671562255615362,2.248146214714203,2.7695624887892434
204560,i,0.770315,56.0475245839848,-29.6860319855387,1.03371253914,23.6658574915,59857.270599,1.3146079197988194,2.3143276396082824,2.1366976736910503,2.8572233393144844
204593,i,0.697574,59.741285553918374,-31.93225572556958,1.02490963979,23.8188930372,59857.28604,3.3242922389958673,3.1745260178208055,1.7535256403795974,1.4787755585930318
204594,i,0.693308,56.37025243367642,-29.65944674384463,1.01464905376,23.8271418041,59857.286489,1.3781158090745764,2.3620419440246914,1.9431013689976202,2.7269149010661278
204595,i,0.690368,55.677598858702744,-30.4423935708909,1.00721767327,23.8304477894,59857.286937,0.6226871773121982,1.5818164017380127,2.072839239534686,2.523864368033851
204661,i,0.642603,55.163627054715064,-29.50148227972706,1.00275695454,23.9839444962,59857.322599,1.6635729187227604,2.599819695608628,2.8718886644906116,3.490289378249599
206053,y,0.766965,55.22298006400064,-29.969302319451376,1.32527482514,22.1813624879,59859.170835,1.2291000900104616,2.1371432819744327,2.6055417122952984,3.1289282617432077
206067,y,0.74843,55.17718586086752,-30.2479316952235,1.28867289817,22.221222455,59859.177104,1.0329241290396478,1.8883321681866543,2.542777147793481,2.984596352638711
206068,y,0.764867,57.841384141499496,-31.57576138543918,1.33660147603,22.1856255266,59859.177552,1.6755843451554984,1.6216341083166976,0.5915016012913276,0.44514690579173527
206072,y,0.780292,59.225051433639656,-32.20229073441474,1.3822060803,22.1422352356,59859.179344,2.9982388698932674,2.739351952142802,1.5918801783730359,1.0572808375460365
207796,y,0.960739,58.39753066565296,-30.43500241533371,1.34981498203,21.8070030884,59861.170016,2.137129275334055,2.579258021942577,0.6603159201481755,1.601493747585457
207799,y,0.935309,55.48850668459125,-30.239165440958,1.29026785565,21.8448669077,59861.171358,0.8789862840073179,1.8144556489823505,2.291243901475382,2.778913592190849
209034,z,0.631457,58.621405151543534,-31.082616611170085,1.01055883292,23.0293086174,59862.339668,2.247475294478857,2.415046868816037,0.5387883061842345,1.0592713240339815
209035,z,0.634868,58.14348677823553,-31.620566685018414,1.01937205994,23.0132478631,59862.340116,1.93356301613649,1.860594302671952,0.6325591250465641,0.3985443698818435
